name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,description
Kerala,01-01-2020,31.8,24.6,28.2,38.4,24.6,32,24.8,82.6,0,14.8,1012.2,32.3,4.3,254.9,22.1,9,0.17,Partly cloudy throughout the day.
Kerala,02-01-2020,31.8,24.6,28.4,37.9,24.6,32,24.5,80.6,0,13,1013.2,28.7,4.5,251.9,21.9,9,0.22,Partly cloudy throughout the day.
Kerala,03-01-2020,32.1,25,28.7,39.1,25,33.2,24.8,79.9,0,18.4,1012.3,33.6,5.1,251.4,21.8,9,0.26,Partly cloudy throughout the day.
Kerala,04-01-2020,32.1,25.5,28.3,39.2,25.5,32.4,25,83.3,78.93,11.2,1010.9,47.9,4.4,251.3,21.9,9,0.31,Partly cloudy throughout the day with rain.
Kerala,05-01-2020,31.2,25.4,28.5,37.7,25.4,32.7,24.9,81.3,10.6,13,1010.7,57,4.9,216.5,18.7,8,0.36,Partly cloudy throughout the day with rain clearing later.
Kerala,06-01-2020,31.7,25.4,28.6,38.6,25.4,32.6,24.8,80.7,0,13,1011.3,36.2,4.4,252.5,21.9,9,0.4,Partly cloudy throughout the day.
Kerala,07-01-2020,32,24.9,28.5,37.6,24.9,32,24.4,79.6,5.2,19.8,1011.1,31.3,4.5,260.7,22.6,9,0.44,Clearing in the afternoon with rain.
Kerala,08-01-2020,31,24.7,28,36.5,24.7,31.4,24.1,80.1,9.99,14.8,1011.5,42.8,5.1,267,23.1,9,0.47,Partly cloudy throughout the day with rain clearing later.
Kerala,09-01-2020,31.1,24.3,27.9,36.5,24.3,30.7,23.8,79.5,0,14.8,1011.3,27.6,4.8,257,22.3,9,0.49,Partly cloudy throughout the day.
Kerala,10-01-2020,31.7,23.5,27.5,37.6,23.5,30.1,23.8,81.7,0,11.2,1011.3,32.1,4.7,272.2,23.4,9,0.5,Partly cloudy throughout the day.
Kerala,11-01-2020,31.9,23,27.3,36.5,23,29.2,22.9,78.7,0,15.1,1011.5,29.6,5,277.1,23.9,9,0.51,Partly cloudy throughout the day.
Kerala,12-01-2020,32.1,23.9,27.9,35.5,23.9,29.8,22.3,73.4,0,13,1011,28.1,5.2,277.2,23.9,9,0.52,Partly cloudy throughout the day.
Kerala,13-01-2020,31,22.4,27.1,34.1,22.4,29.2,22.7,77.8,0,14.8,1011.1,35,4.6,252.4,21.9,9,0.55,Partly cloudy throughout the day.
Kerala,14-01-2020,31.3,24,27.5,36.5,24,29.9,23.3,78.4,0,13,1010.3,38.1,4.6,249.6,21.7,9,0.59,Partly cloudy throughout the day.
Kerala,15-01-2020,30.4,23.3,26.9,34.1,23.3,28.5,22.7,79,0,14.8,1010.7,34,4.5,250.9,21.8,9,0.64,Partly cloudy throughout the day.
Kerala,16-01-2020,30.8,23,27.2,33.5,23,28.7,22,74.8,0,13,1010.9,25.8,4.4,260.8,22.7,9,0.69,Partly cloudy throughout the day.
Kerala,17-01-2020,32.1,23,27.6,35.5,23,29.9,23,77.3,0,13,1011,25.2,4.6,268,23.1,9,0.75,Partly cloudy throughout the day.
Kerala,18-01-2020,32.1,24,28.2,37.8,24,31.4,23.8,78,0,14.8,1010.5,39.3,4.6,254,21.9,9,0.81,Partly cloudy throughout the day.
Kerala,19-01-2020,31,26.3,28.9,37.7,26.3,33.8,24.6,78.1,0.1,13,1011,52.5,4.8,252.2,21.7,9,0.86,Partly cloudy throughout the day with afternoon rain.
Kerala,20-01-2020,31.5,25,28.7,37.7,25,32.8,24.5,78.8,0,16.6,1011.9,32.1,5.1,274,23.6,9,0.91,Partly cloudy throughout the day.
Kerala,21-01-2020,31.7,25.6,28.5,37.6,25.6,32.3,24.5,80,0,13,1012,38.1,4.8,272.9,23.4,9,0.95,Partly cloudy throughout the day.
Kerala,22-01-2020,31.7,25.8,28.5,37.9,25.8,32.2,24.5,79.5,0,14.8,1011.5,27.4,4.8,267.1,23,9,0.98,Partly cloudy throughout the day.
Kerala,23-01-2020,32,26.9,29.1,39.1,30.2,34.6,25.1,79.3,0,16.6,1010.4,29.1,5.1,211.7,18.3,7,0.99,Partly cloudy throughout the day.
Kerala,24-01-2020,32.2,26.7,29.1,38.6,29.8,34.1,24.8,78.2,0,13,1010.9,30.1,4.9,278.6,24.2,9,1,Partly cloudy throughout the day.
Kerala,25-01-2020,32.3,25,28.5,35.9,25,30.9,23.1,74.1,0,14.8,1011.6,27.3,4.5,284.6,24.6,10,0,Partly cloudy throughout the day.
Kerala,26-01-2020,31,23.3,27.6,36.5,23.3,29.8,22.8,76,0,13,1011.4,28,4.7,279.4,24.2,10,0.01,Partly cloudy throughout the day.
Kerala,27-01-2020,30.8,23,27.3,35.1,23,29.5,23,78,0,13,1012,29.7,4.5,278.4,24.1,9,0.03,Partly cloudy throughout the day.
Kerala,28-01-2020,31.4,23.5,27.6,36.1,23.5,29.9,23,77.1,0,14.8,1012.2,32.6,4.7,222.7,19.2,8,0.06,Partly cloudy throughout the day.
Kerala,29-01-2020,32.1,23.4,27.7,36.5,23.4,30,23,76.3,0,13,1012.5,29.5,4.5,280,24.3,9,0.09,Partly cloudy throughout the day.
Kerala,30-01-2020,32,23.6,27.7,36.8,23.6,30.3,23.4,78,0,11.2,1011.8,35.9,4.5,277.8,24,10,0.13,Partly cloudy throughout the day.
Kerala,31-01-2020,31.6,24.4,28,36.5,24.4,31,23.5,76.9,0,13,1010.6,33.4,5,271.9,23.6,10,0.18,Partly cloudy throughout the day.
